clientId,submittedAt,feedbackText,labeledSentiment
C003,2023-12-22 00:00:00,No strong feelings either way.,Neutral
C003,2023-07-26 00:00:00,No strong feelings either way.,Neutral
C004,2023-09-09 00:00:00,Not satisfied with the outcome.,Negative
C004,2024-01-10 00:00:00,"It was okay, nothing special.",Neutral
C014,2023-11-17 00:00:00,Service was as expected.,Neutral
C014,2024-03-28 00:00:00,"Excellent service, very happy!",Positive
C016,2024-04-12 00:00:00,Problems with the app/website.,Negative
C019,2024-04-13 00:00:00,Problems with the app/website.,Negative
C019,2024-01-06 00:00:00,Problems with the app/website.,Negative
C020,2023-06-30 00:00:00,"Highly recommend, great experience.",Positive
C021,2024-02-17 00:00:00,"Excellent service, very happy!",Positive
C021,2024-01-22 00:00:00,"Excellent service, very happy!",Positive
C022,2023-08-27 00:00:00,Service was as expected.,Neutral
C022,2023-09-12 00:00:00,"Very disappointed, service was slow.",Negative
C024,2023-07-05 00:00:00,"Very disappointed, service was slow.",Negative
C024,2023-08-15 00:00:00,"Smooth process, no issues.",Positive
C028,2023-08-14 00:00:00,Standard interaction.,Neutral
C028,2024-04-19 00:00:00,"Highly recommend, great experience.",Positive
C031,2024-03-25 00:00:00,"Had issues, needs improvement.",Negative
C031,2024-05-02 00:00:00,"It was okay, nothing special.",Neutral
C036,2023-12-03 00:00:00,No strong feelings either way.,Neutral
C040,2024-05-18 00:00:00,"Highly recommend, great experience.",Positive
C041,2023-11-19 00:00:00,Not satisfied with the outcome.,Negative
C041,2023-11-18 00:00:00,"Had issues, needs improvement.",Negative
C042,2023-12-05 00:00:00,"It was okay, nothing special.",Neutral
C042,2024-05-23 00:00:00,Not satisfied with the outcome.,Negative
C044,2024-01-12 00:00:00,"Smooth process, no issues.",Positive
C044,2024-02-21 00:00:00,"It was okay, nothing special.",Neutral
C047,2023-11-29 00:00:00,Problems with the app/website.,Negative
C048,2024-01-01 00:00:00,"Very disappointed, service was slow.",Negative
C048,2023-07-24 00:00:00,"Smooth process, no issues.",Positive
C050,2023-08-11 00:00:00,No strong feelings either way.,Neutral
C050,2024-05-19 00:00:00,"It was okay, nothing special.",Neutral
C054,2023-08-03 00:00:00,Problems with the app/website.,Negative
C056,2023-06-03 00:00:00,"It was okay, nothing special.",Neutral
C056,2024-05-14 00:00:00,Problems with the app/website.,Negative
C057,2023-10-24 00:00:00,"Quick and efficient, thank you.",Positive
C057,2023-12-02 00:00:00,Standard interaction.,Neutral
C058,2023-08-24 00:00:00,"Very disappointed, service was slow.",Negative
C061,2023-06-24 00:00:00,Standard interaction.,Neutral
C063,2023-09-20 00:00:00,"Highly recommend, great experience.",Positive
C068,2023-07-18 00:00:00,"It was okay, nothing special.",Neutral
C074,2023-09-02 00:00:00,Standard interaction.,Neutral
C074,2023-07-19 00:00:00,No strong feelings either way.,Neutral
C075,2023-09-08 00:00:00,Not satisfied with the outcome.,Negative
C076,2023-10-24 00:00:00,"Excellent service, very happy!",Positive
C076,2023-10-19 00:00:00,"Excellent service, very happy!",Positive
C078,2023-07-21 00:00:00,Problems with the app/website.,Negative
